subdomain,ip,source
da288f7-cwp.prebuilt-app.bizflycloud.vn,103.69.193.98,crtsh
f21ab17-magento.prebuilt-app.bizflycloud.vn,103.153.73.18,rapiddns
547adcf-openvpn.prebuilt-app.bizflycloud.vn,103.107.182.119,hackertarget
3dab193-cwp.prebuilt-app.bizflycloud.vn,103.148.57.79,alienvault
funtek.ss-hn-1.bizflycloud.vn,103.107.180.241,waybackarchive
02bb4b7-openvpn.prebuilt-app.bizflycloud.vn,103.153.72.251,rapiddns
0b6ce13-redmine.prebuilt-app.bizflycloud.vn,103.148.57.197,hackertarget
49009.drive.bizflycloud.vn,123.31.11.240,alienvault
6c5a4fb-magento.prebuilt-app.bizflycloud.vn,103.153.74.132,rapiddns
609a42ed3ae61711afd1e96f.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
edde763-magento.prebuilt-app.bizflycloud.vn,103.107.182.234,rapiddns
bdd6c8b-openvpn.prebuilt-app.bizflycloud.vn,103.56.157.15,rapiddns
5369b59-magento.prebuilt-app.bizflycloud.vn,45.124.94.159,crtsh
download.drive.bizflycloud.vn,222.255.27.173,hackertarget
b8750be-redmine.prebuilt-app.bizflycloud.vn,103.56.158.234,rapiddns
ac34426-openvpn.prebuilt-app.bizflycloud.vn,103.107.183.217,hackertarget
609b5dbf50d5573d60ce1676.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
capt-ima70.bizflycloud.vn,103.69.195.211,hackertarget
e7af646-openvpn.prebuilt-app.bizflycloud.vn,103.153.74.37,rapiddns
db732ac-jitsi.prebuilt-app.bizflycloud.vn,103.56.158.136,rapiddns
9590154-mattermost.prebuilt-app.bizflycloud.vn,103.107.182.188,crtsh
vuagm.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
609b79613ae61711afd1e988.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
64c11a1-joomla.prebuilt-app.bizflycloud.vn,103.56.158.18,rapiddns
6ceaa0d-openvpn.prebuilt-app.bizflycloud.vn,14.225.27.111,rapiddns
609b8ce03ae61711afd1e99a.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
14c1972-nextcloud.prebuilt-app.bizflycloud.vn,45.124.94.58,alienvault
5499701-cwp.prebuilt-app.bizflycloud.vn,45.124.95.190,alienvault
60b6eb60920767b0d70c6530.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
596947d-bigbluebutton.prebuilt-app.bizflycloud.vn,103.56.157.120,hackertarget
imap-proxy-4.bizflycloud.vn,103.69.195.109,rapiddns
973b710-openvpn.prebuilt-app.bizflycloud.vn,45.124.95.123,rapiddns
845a361-openvpn.prebuilt-app.bizflycloud.vn,103.153.74.110,alienvault
e237bb7-nextcloud.prebuilt-app.bizflycloud.vn,45.124.95.64,rapiddns
dc8e427-cwp.prebuilt-app.bizflycloud.vn,14.225.27.231,rapiddns
8a62f0b-nextcloud.prebuilt-app.bizflycloud.vn,103.107.182.76,hackertarget
819aba6-magento.prebuilt-app.bizflycloud.vn,103.153.73.27,rapiddns
bizfly-smtp-relay-3.bizflycloud.vn,103.159.60.205,hackertarget
capt-se285.bizflycloud.vn,45.124.93.164,hackertarget
6dc01a2-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.246,hackertarget
6a4f147-cwp.prebuilt-app.bizflycloud.vn,103.107.183.114,hackertarget
